Crop,Variety_Group,Yield_Goal_t_per_ha,Soil_Level,N_kg_ha,P_kg_ha,K_kg_ha,S_kg_ha,Zn_kg_ha,B_kg_ha,Mg_kg_ha,OF_t_per_ha,Data_Type
Boro rice,BRRI dhan29 etc,7.5,Optimum,'''0-58,'''0-60,'''0-40,'''0-6,,,2,,Field_Crop
Boro rice,BRRI dhan29 etc,7.5,Medium,'''59-116,'''7-12,'''41-80,'''7-12,'''0-1.3,,,2,Field_Crop
Boro rice,BRRI dhan29 etc,7.5,Low,'''117-174,'''13-18,'''81-120,'''13-18,'''1.4-2.6,,,2,Field_Crop
Boro rice,BRRI dhan29 etc,7.5,Very low,'''175-232,'''19-24,'''121-160,'''19-24,'''2.7-3.9,,,2,Field_Crop
Boro rice,BRRI dhan28 etc,6.0,Optimum,'''0-46,'''0-3,'''0-20,'''0-5,,,2,,Field_Crop
Boro rice,BRRI dhan28 etc,6.0,Medium,'''47-92,'''6-10,'''33-64,'''6-10,'''0-1.0,,,2,Field_Crop
Boro rice,BRRI dhan28 etc,6.0,Low,'''93-138,'''11-15,'''65-96,'''11-15,'''1.1-2.0,,,2,Field_Crop
Boro rice,BRRI dhan28 etc,6.0,Very low,'''139-184,'''16-20,'''97-128,'''16-20,'''2.1-3.0,,,2,Field_Crop
Aus rice,BRRI dhan48 etc,5.0,Optimum,'''0-24,'''0-4,'''0-22,'''0-3,,,,,Field_Crop
Aus rice,BRRI dhan48 etc,5.0,Medium,'''25-48,'''5-8,'''23-44,'''4-6,'''0-0.7,,,,Field_Crop
Aus rice,BRRI dhan48 etc,5.0,Low,'''49-72,'''9-12,'''45-66,'''7-9,'''0.8-1.4,,,,Field_Crop
Aus rice,BRRI dhan48 etc,5.0,Very low,'''73-96,'''13-16,'''67-88,'''10-12,'''1.5-2.1,,,,Field_Crop
Aus rice,BRRI dhan27 etc,4.0,Optimum,'''0-21,'''0-3,'''0-19,'''0-2.5,,,,,Field_Crop
Aus rice,BRRI dhan27 etc,4.0,Medium,'''22-42,'''4-6,'''20-38,'''2.6-5.0,'''0-0.5,,,,Field_Crop
Aus rice,BRRI dhan27 etc,4.0,Low,'''43-63,'''7-9,'''39-57,'''5.1-7.5,'''0.6-1.0,,,,Field_Crop
Aus rice,BRRI dhan27 etc,4.0,Very low,'''64-84,'''10-12,'''58-75,'''7.6-10,'''1.1-1.5,,,,Field_Crop
T. Aman rice,BRRI dhan72 etc,6.0,Optimum,'''0-30,'''0-5,'''0-27,'''0-4,,,,,Field_Crop
T. Aman rice,BRRI dhan72 etc,6.0,Medium,'''31-60,'''6-10,'''28-54,'''5-8,'''0-0.9,,,,Field_Crop
T. Aman rice,BRRI dhan72 etc,6.0,Low,'''61-90,'''11-15,'''55-81,'''9-12,'''1.0-1.8,,,,Field_Crop
T. Aman rice,BRRI dhan72 etc,6.0,Very low,'''91-120,'''16-20,'''82-108,'''13-16,'''1.9-2.7,,,,Field_Crop
T. Aman rice,BR22 etc,5.0,Optimum,'''0-24,'''0-4,'''0-22,'''0-3,,,,,Field_Crop
T. Aman rice,BR22 etc,5.0,Medium,'''25-48,'''5-8,'''23-44,'''4-6,'''0-0.7,,,,Field_Crop
T. Aman rice,BR22 etc,5.0,Low,'''49-72,'''9-12,'''45-66,'''7-9,'''0.8-1.4,,,,Field_Crop
T. Aman rice,BR22 etc,5.0,Very low,'''73-96,'''13-16,'''67-88,'''10-12,'''1.5-2.1,,,,Field_Crop
T. Aman rice,BRRI dhan34 etc,4.0,Optimum,'''0-19,'''0-3,'''0-18,'''0-2.5,,,,,Field_Crop
T. Aman rice,BRRI dhan34 etc,4.0,Medium,'''20-38,'''4-6,'''19-36,'''2.6-5.0,'''0-0.7,,,,Field_Crop
T. Aman rice,BRRI dhan34 etc,4.0,Low,'''39-57,'''7-9,'''37-54,'''5.1-7.5,'''0.8-1.4,,,,Field_Crop
T. Aman rice,BRRI dhan34 etc,4.0,Very low,'''58-76,'''10-12,'''55-72,'''7.6-10,'''1.5-2.1,,,,Field_Crop
B. Aman rice,BRRI dhan91,2.5,Optimum,'''0-12,'''0-2.5,'''0-10,'''0-2,,,,,Field_Crop
B. Aman rice,BRRI dhan91,2.5,Medium,'''13-24,'''2.6-5.0,'''11-20,'''3-4,'''0-0.5,,,,Field_Crop
B. Aman rice,BRRI dhan91,2.5,Low,'''25-36,'''5.1-7.5,'''21-30,'''5-6,'''0.6-1.0,,,,Field_Crop
B. Aman rice,BRRI dhan91,2.5,Very low,'''37-48,'''7.6-10,'''31-40,'''7-8,'''1.1-1.5,,,,Field_Crop
Wheat,BARI Gom 25 etc,4.5,Optimum,'''0-40,'''0-10,'''0-30,'''0-5,,,2,,Field_Crop
Wheat,BARI Gom 25 etc,4.5,Medium,'''41-80,'''11-20,'''31-60,'''6-10,'''0-1.3,'''0-1.0,'''0-4,2,Field_Crop
Wheat,BARI Gom 25 etc,4.5,Low,'''81-120,'''21-30,'''61-90,'''11-15,'''1.4-2.6,'''1.1-2.0,'''4-8,2,Field_Crop
Wheat,BARI Gom 25 etc,4.5,Very low,'''121-160,'''31-40,'''91-120,'''16-20,'''2.7-3.9,'''2.1-3.0,'''7-12,2,Field_Crop
Maize,Hybrid,11.0,Optimum,'''0-80,'''0-18,'''0-45,'''0-12,'''0-5,,3,,Field_Crop
Maize,Hybrid,11.0,Medium,'''81-160,'''19-36,'''46-90,'''13-24,'''6-10,'''0-2.0,'''0-1.0,3,Field_Crop
Maize,Hybrid,11.0,Low,'''161-240,'''37-54,'''91-135,'''25-36,'''11-15,'''2.1-4.0,'''1.1-2.0,3,Field_Crop
Maize,Hybrid,11.0,Very low,'''241-320,'''55-72,'''136-180,'''37-48,'''16-20,'''4.1-6.0,'''2.1-3.0,3,Field_Crop
