Crop,Variety,Age_Group_years,N_g_tree,P_g_tree,K_g_tree,S_g_tree,Zn_g_tree,B_g_tree,OF_kg_tree,Data_Type
Mango,BARI Aam-3 etc,Before planting,0,100,100,50,10,10,10,Fruit_Tree
Mango,BARI Aam-3 etc,0-1,100,30,50,20,5,5,10,Fruit_Tree
Mango,BARI Aam-3 etc,2-4,210,50,90,30,5,5,15,Fruit_Tree
Mango,BARI Aam-3 etc,5-7,390,80,120,50,5,5,20,Fruit_Tree
Mango,BARI Aam-3 etc,8-10,500,100,150,70,8,8,25,Fruit_Tree
Mango,BARI Aam-3 etc,11-15,550,150,200,80,8,8,30,Fruit_Tree
Mango,BARI Aam-3 etc,16-20,800,200,230,100,10,10,35,Fruit_Tree
Mango,BARI Aam-3 etc,>20,1000,300,300,130,10,12,40,Fruit_Tree
Jackfruit,BARI Kanthal etc,Before planting,0,100,125,35,0,0,25,Fruit_Tree
Jackfruit,BARI Kanthal etc,0-1,150,75,150,20,2,0,25,Fruit_Tree
Jackfruit,BARI Kanthal etc,2-4,250,100,250,30,4,1,25,Fruit_Tree
Jackfruit,BARI Kanthal etc,5-7,350,150,350,35,4,2,20,Fruit_Tree
Jackfruit,BARI Kanthal etc,8-10,450,200,450,45,6,4,25,Fruit_Tree
Jackfruit,BARI Kanthal etc,11-15,600,280,550,60,7,5,30,Fruit_Tree
Jackfruit,BARI Kanthal etc,16-20,750,300,650,90,8,8,35,Fruit_Tree
Jackfruit,BARI Kanthal etc,>20,800,400,750,100,10,10,40,Fruit_Tree
Banana,All,Basal (pit),250,100,340,50,33,15,3,Fruit_Tree
Banana,All,1st TD,50,70,0,0,0,0,0,Fruit_Tree
Banana,All,2nd TD,50,70,0,0,0,0,0,Fruit_Tree
Banana,All,3rd TD,50,70,0,0,0,0,0,Fruit_Tree
Banana,All,4th TD,100,130,0,0,0,0,0,Fruit_Tree
Papaya,BARI Papaya-1,Before planting,0,120,60,35,15,0,5,Fruit_Tree
Papaya,BARI Papaya-1,1st TD,35,35,0,0,0,0,0,Fruit_Tree
Papaya,BARI Papaya-1,2nd TD,35,35,0,0,0,0,0,Fruit_Tree
Papaya,BARI Papaya-1,3rd TD,40,40,0,0,0,0,0,Fruit_Tree
Papaya,BARI Papaya-1,4th TD,60,60,0,0,0,0,0,Fruit_Tree
Papaya,BARI Papaya-1,5th TD,60,60,0,0,0,0,0,Fruit_Tree
Papaya,BARI Papaya-1,6th TD,50,50,0,0,0,0,0,Fruit_Tree
Guava,BARI Payara etc,Before planting,0,60,125,10,5,2,15,Fruit_Tree
Guava,BARI Payara etc,0-1,150,70,100,15,5,2,10,Fruit_Tree
Guava,BARI Payara etc,2-4,160,80,250,20,8,5,15,Fruit_Tree
Guava,BARI Payara etc,5-7,250,120,300,25,8,8,15,Fruit_Tree
Guava,BARI Payara etc,8-10,300,150,350,35,10,10,20,Fruit_Tree
Guava,BARI Payara etc,>10,400,200,450,40,10,10,25,Fruit_Tree
Coconut,BARI Narkel etc,Before planting,0,60,200,45,20,5,25,Fruit_Tree
Coconut,BARI Narkel etc,0-1,100,30,200,20,10,2,10,Fruit_Tree
Coconut,BARI Narkel etc,2-4,150,50,250,30,15,3,15,Fruit_Tree
Coconut,BARI Narkel etc,5-7,220,80,350,50,20,3,20,Fruit_Tree
Coconut,BARI Narkel etc,8-10,425,100,600,55,20,5,20,Fruit_Tree
Coconut,BARI Narkel etc,11-15,550,160,950,60,25,10,25,Fruit_Tree
Coconut,BARI Narkel etc,16-20,650,160,1200,70,30,10,25,Fruit_Tree
Coconut,BARI Narkel etc,>20,800,250,1500,80,30,15,30,Fruit_Tree
Pineapple,Giant kew etc,Basal,60,25,60,7,0,0,3,Fruit_Tree
Pineapple,Giant kew etc,Split 1 (4-5 MAP),0,0,30,0,0,0,0,Fruit_Tree
Pineapple,Giant kew etc,Split 2 (5-6 MAP),0,0,30,0,0,0,0,Fruit_Tree
Pineapple,Giant kew etc,Split 3 (6-7 MAP),0,0,30,0,0,0,0,Fruit_Tree
Pineapple,Giant kew etc,Split 4 (7-8 MAP),0,0,30,0,0,0,0,Fruit_Tree
Pineapple,Giant kew etc,Split 5 (8-9 MAP),0,0,30,0,0,0,0,Fruit_Tree
Litchi,BARI Litchu etc,Before planting,0,100,200,20,15,4,25,Fruit_Tree
Litchi,BARI Litchu etc,0-1,160,80,150,25,20,5,10,Fruit_Tree
Litchi,BARI Litchu etc,2-4,200,100,280,40,25,5,15,Fruit_Tree
Litchi,BARI Litchu etc,5-7,250,150,400,50,30,5,20,Fruit_Tree
Litchi,BARI Litchu etc,8-10,400,250,600,60,35,8,25,Fruit_Tree
Litchi,BARI Litchu etc,11-15,600,300,650,60,40,10,30,Fruit_Tree
Litchi,BARI Litchu etc,16-20,750,350,800,70,45,12,35,Fruit_Tree
Litchi,BARI Litchu etc,>20,1000,400,900,80,50,15,40,Fruit_Tree
Pummelo,BARI Batabilebu,Before planting,0,60,50,45,0,0,15,Fruit_Tree
Pummelo,BARI Batabilebu,0-1,100,40,90,20,5,2,10,Fruit_Tree
Pummelo,BARI Batabilebu,2-4,150,50,160,25,5,2,15,Fruit_Tree
Pummelo,BARI Batabilebu,5-7,250,75,250,30,20,5,20,Fruit_Tree
Pummelo,BARI Batabilebu,8-10,300,100,275,40,20,6,25,Fruit_Tree
Pummelo,BARI Batabilebu,11-15,350,120,350,50,25,8,30,Fruit_Tree
Pummelo,BARI Batabilebu,>15,450,150,400,60,25,10,35,Fruit_Tree
Mandarin,BARI Komola,Before planting,0,60,50,0,0,0,15,Fruit_Tree
Mandarin,BARI Komola,0-1,100,30,80,20,5,2,10,Fruit_Tree
Mandarin,BARI Komola,2-4,150,50,120,25,8,2,15,Fruit_Tree
Mandarin,BARI Komola,5-7,200,75,180,30,10,3,20,Fruit_Tree
Mandarin,BARI Komola,8-10,250,100,250,40,12,4,25,Fruit_Tree
Mandarin,BARI Komola,11-15,350,150,300,50,15,6,30,Fruit_Tree
Mandarin,BARI Komola,>15,500,200,400,60,15,8,35,Fruit_Tree
Sweet orange,BARI Malta,Before planting,0,60,50,0,0,0,20,Fruit_Tree
Sweet orange,BARI Malta,0-1,125,40,75,20,5,2,10,Fruit_Tree
Sweet orange,BARI Malta,2-4,200,50,90,25,8,2,15,Fruit_Tree
Sweet orange,BARI Malta,5-7,250,75,140,40,10,5,20,Fruit_Tree
Sweet orange,BARI Malta,8-10,320,100,175,50,12,5,25,Fruit_Tree
